start,fillOpen,fillClose,fillHigh,fillLow,oracleOpen,oracleClose,oracleHigh,oracleLow,quoteVolume,baseVolume,resolution
1704067200000,102.800000,110.280000,110.345583,101.681100,101.619444,109.757064,109.757064,101.524427,19715693.721788,184595.700000000,D
1704153600000,110.280000,106.812700,117.226900,106.100000,109.757064,106.791652,117.000140,106.091210,36284277.141021,325397.800000000,D
1704240000000,106.812700,98.600600,110.692826,88.804300,106.791652,98.530000,109.908253,88.804319,49993236.901717,495401.100000000,D
1704326400000,98.600600,105.361000,109.902559,96.934328,98.530000,105.017382,108.118400,96.707440,19088361.016259,184490.900000000,D
1704412800000,105.361000,100.250000,105.895200,95.447276,105.017382,99.999508,105.295691,95.451241,29703980.997916,296296.200000000,D
1704499200000,100.250000,93.864900,100.615700,89.000000,99.999508,93.787204,100.329432,91.833300,30615235.824939,321841.200000000,D
1704585600000,93.864900,89.454200,97.087769,87.738371,93.787204,89.506606,96.774499,87.883375,35158450.814997,378930.200000000,D
1704672000000,89.454200,97.851268,100.106115,85.000000,89.506606,97.901692,99.905537,85.343954,40931198.575007,445887.500000000,D
1704758400000,97.851268,99.460640,104.667625,95.493569,97.901692,99.396991,104.330000,95.480245,27471211.767099,274615.300000000,D
1704844800000,99.460640,102.199200,106.000000,92.334658,99.396991,102.199333,105.285162,92.350000,30642240.628035,312539.900000000,D
1704931200000,102.199200,99.909976,107.221946,97.749123,102.199333,99.897485,107.108451,97.755709,40236217.510390,394942.000000000,D
1705017600000,99.909976,92.008724,100.451942,84.100000,99.897485,92.020166,100.452551,87.066413,35176870.092220,368739.000000000,D
1705104000000,92.008724,95.773287,100.541000,89.533788,92.020166,95.759955,97.046125,89.509333,24707473.506494,267111.500000000,D
1705190400000,95.773287,93.801600,103.295262,93.706300,95.759955,93.781975,102.764315,93.781975,33026738.093006,337131.700000000,D
1705276800000,93.801600,94.331123,96.983092,93.080077,93.781975,94.344428,96.890704,93.068485,19814994.614261,208105.200000000,D
1705363200000,94.331123,97.609600,98.851345,94.158500,94.344428,97.613187,98.670721,94.188580,29225410.661324,301906.400000000,D
1705449600000,97.609600,102.121800,102.821800,96.704116,97.613187,102.013936,102.685005,96.723932,57576661.220344,574817.500000000,D
1705536000000,102.121800,94.249793,103.684800,91.543000,102.013936,94.261725,103.425005,91.709015,47403080.722123,486884.300000000,D
1705622400000,94.249793,93.600500,95.552088,87.105500,94.261725,93.596111,95.300755,87.185000,36319882.532544,392524.100000000,D
